id,scheduleId,memberId,eventDate,attack1Stars,attack1Missed,attack1Opponent,attack2Stars,attack2Missed,attack2Opponent,didNotAttack,previousValidStars,currentValidStars,createdBy,createdAt,updatedAt
1,30002,1,2025-12-30,3,0,,3,0,,0,0,0,1,2025-12-31 03:20:38,2025-12-31 03:20:38
2,30002,2,2025-12-30,2,0,,0,0,,0,0,0,1,2025-12-31 03:20:38,2025-12-31 03:20:38
3,30002,30001,2025-12-30,3,0,,3,0,,0,0,0,1,2025-12-31 03:20:38,2025-12-31 03:20:38
4,30002,30002,2025-12-30,3,0,,3,0,,0,0,0,1,2025-12-31 03:20:38,2025-12-31 03:20:38
5,30002,30003,2025-12-30,0,0,,0,0,,1,0,0,1,2025-12-31 03:20:38,2025-12-31 03:20:38
6,30002,30004,2025-12-30,3,0,,3,0,,0,0,0,1,2025-12-31 03:20:38,2025-12-31 03:20:38
7,30002,30005,2025-12-30,3,0,,3,0,,0,0,0,1,2025-12-31 03:20:38,2025-12-31 03:20:38
8,30002,30006,2025-12-30,3,1,,3,0,,0,0,0,1,2025-12-31 03:20:38,2026-01-01 20:47:49
9,30002,30007,2025-12-30,3,0,,3,1,,0,0,0,1,2025-12-31 03:20:39,2026-01-01 20:47:49
10,30002,30008,2025-12-30,3,0,,3,0,,0,0,0,1,2025-12-31 03:20:39,2025-12-31 03:32:25
11,30002,30009,2025-12-30,3,1,,0,0,,0,0,0,1,2025-12-31 03:20:39,2026-01-01 20:47:49
12,30002,30010,2025-12-30,3,0,,3,0,,0,0,0,1,2025-12-31 03:20:39,2025-12-31 03:32:25
13,30002,30011,2025-12-30,3,0,,0,0,,0,0,0,1,2025-12-31 03:20:39,2025-12-31 03:32:25
14,30002,30012,2025-12-30,3,1,,3,0,,0,0,0,1,2025-12-31 03:20:39,2026-01-01 20:47:49
15,30002,30013,2025-12-30,2,0,,3,0,,0,0,0,1,2025-12-31 03:20:39,2025-12-31 03:32:25
16,30002,30014,2025-12-30,3,0,,3,0,,0,0,0,1,2025-12-31 03:20:39,2025-12-31 03:32:25
17,30002,30017,2025-12-30,0,0,,0,0,,0,0,0,1,2025-12-31 03:20:39,2025-12-31 03:20:39
18,30002,30018,2025-12-30,3,0,,0,0,,0,0,0,1,2025-12-31 03:20:39,2025-12-31 03:32:25
19,30002,60002,2025-12-30,2,0,,3,1,,0,0,0,1,2025-12-31 03:20:39,2026-01-01 20:47:49
20,30002,90003,2025-12-30,0,0,,0,0,,1,0,0,1,2025-12-31 03:20:39,2025-12-31 03:32:25
30001,30002,60001,2025-12-30,3,0,,3,1,,0,0,0,1,2025-12-31 03:32:25,2026-01-01 20:47:49
30002,30001,1,2026-02-02,3,1,,3,0,,0,0,0,1,2025-12-31 03:36:01,2026-02-03 01:31:35
