id,eventDate,opponentGuild,ourScore,opponentScore,validStars,createdAt,updatedAt
1,2025-12-31,El Cartel ,11,59,0,2026-01-01 01:31:21,2026-01-01 20:48:28
30001,2025-12-22,SAMCTRUM,24,51,0,2026-01-01 20:35:53,2026-01-01 20:35:53
30002,2025-12-23,UNION,60,0,0,2026-01-01 20:36:41,2026-01-01 20:36:41
30003,2025-12-24,Infinity3,60,0,0,2026-01-01 20:38:22,2026-01-01 20:38:22
30004,2025-12-25,S´Elisyum,59,2,0,2026-01-01 20:39:02,2026-01-01 20:39:02
30005,2025-12-26,Celestiais,52,13,0,2026-01-01 20:41:05,2026-01-01 20:41:05
30006,2025-12-27,Shadaloo,0,60,0,2026-01-01 20:42:55,2026-01-01 20:42:55
30007,2025-12-29,ZeroDivision,37,43,0,2026-01-01 20:44:33,2026-01-01 20:44:33
30008,2025-12-30,Titanomaquia,60,2,0,2026-01-01 20:46:58,2026-01-01 20:46:58
30009,2026-01-01,Desterrados,60,0,0,2026-01-01 20:53:34,2026-01-02 02:57:15
60001,2026-01-12,MythiCeouls,60,18,0,2026-01-12 18:46:48,2026-01-13 01:29:05
90001,2026-01-13,Destiny,58,10,0,2026-01-14 16:25:04,2026-01-14 16:26:49
90002,2026-01-14,YSL,54,10,0,2026-01-14 16:26:10,2026-01-14 22:14:11
120002,2026-02-02,Resistence,59,16,59,2026-02-03 01:32:09,2026-02-03 01:32:09
150002,2026-02-03,OlympuSaints,60,2,0,2026-02-04 01:00:39,2026-02-04 01:00:39
