id,eventTypeId,eventDate,createdBy,notificationSent,reminderSent,createdAt,updatedAt
1,1,2026-02-02,1,0,0,2026-02-02 14:31:20,2026-02-02 14:31:20
2,1,2026-02-02,1,0,0,2026-02-02 14:46:08,2026-02-02 14:46:08
30001,1,2026-02-02,1,0,0,2026-02-02 17:22:15,2026-02-02 17:22:15
60001,2,2026-02-02,1,0,0,2026-02-03 01:38:18,2026-02-03 01:38:18
60002,2,2026-02-02,1,0,0,2026-02-03 01:38:54,2026-02-03 01:38:54
60003,2,2026-02-02,1,0,0,2026-02-03 01:44:58,2026-02-03 01:44:58
90001,1,2026-02-04,1,0,0,2026-02-04 00:54:33,2026-02-04 00:54:33
90002,1,2026-02-03,1,0,0,2026-02-04 00:56:26,2026-02-04 00:56:26
120001,1,2026-02-04,1,1,0,2026-02-04 13:39:23,2026-02-04 13:46:07
150001,1,2026-02-05,1,0,0,2026-02-05 13:49:05,2026-02-05 13:49:05
180001,1,2026-02-06,1,1,0,2026-02-06 13:42:46,2026-02-06 13:43:00
210001,3,2026-02-21,1,0,0,2026-02-21 16:04:02,2026-02-21 16:04:02
210002,3,2026-02-21,1,0,0,2026-02-21 16:05:03,2026-02-21 16:05:03
210003,3,2026-02-21,1,0,0,2026-02-21 16:06:33,2026-02-21 16:06:33
240001,3,2026-02-21,1,0,0,2026-02-21 16:20:57,2026-02-21 16:20:57
240002,3,2026-02-21,1,0,0,2026-02-21 16:23:36,2026-02-21 16:23:36
240003,3,2026-02-21,1,0,0,2026-02-21 16:25:23,2026-02-21 16:25:23
240004,3,2026-02-21,1,0,0,2026-02-21 16:26:08,2026-02-21 16:26:08
240005,3,2026-02-21,1,0,0,2026-02-21 16:38:25,2026-02-21 16:38:25
240006,3,2026-02-21,1,0,0,2026-02-21 16:40:04,2026-02-21 16:40:04
240007,3,2026-02-21,1,0,0,2026-02-21 16:41:05,2026-02-21 16:41:05
270001,1,2026-02-26,1,0,0,2026-02-26 13:37:17,2026-02-26 13:37:17
270002,1,2026-02-26,1,1,0,2026-02-26 13:37:55,2026-02-26 13:41:06
300001,3,2026-02-19,1,0,0,2026-02-26 14:30:55,2026-02-26 14:30:55
300002,3,2026-02-19,1,0,0,2026-02-26 14:31:26,2026-02-26 14:31:26
